product_code,enterprise_code,product_name_cn,product_name_en,industry_code,industry_name,product_category,product_type,hs_code,unit,moq,exw_price,currency,quote_date,quote_valid_until,target_market,export_suitability,recommendation_level,certification_status,status
PRD00001,ENT0001,样例企业001产品1,Product 1 of ENT0001,HOME,家居日用,定制产品,ODM,37144039,套,100,168.23,USD,2024-12-29,2025-03-29,北美,待判断,C待完善,齐全,draft
PRD00002,ENT0001,样例企业001产品2,Product 2 of ENT0001,HOME,家居日用,定制产品,标准品,31769425,台,200,227.72,USD,2023-09-12,2023-12-11,中东,基本适合,C待完善,部分齐全,active
PRD00003,ENT0001,样例企业001产品3,Product 3 of ENT0001,HOME,家居日用,升级产品,标准品,93832882,套,200,80.34,USD,2024-12-20,2025-03-20,非洲,基本适合,C待完善,部分齐全,active
PRD00004,ENT0001,样例企业001产品4,Product 4 of ENT0001,HOME,家居日用,升级产品,定制品,94739756,台,50,104.99,USD,2024-09-29,2024-12-28,北美,待判断,C待完善,待补充,inactive
PRD00005,ENT0001,样例企业001产品5,Product 5 of ENT0001,HOME,家居日用,配套产品,ODM,35829819,套,100,31.49,USD,2024-08-19,2024-11-17,北美,适合,A优先推荐,部分齐全,active
PRD00006,ENT0002,样例企业002产品1,Product 1 of ENT0002,MACH,机械设备,配套产品,定制品,61345857,件,200,200.02,USD,2023-12-29,2024-03-28,北美,待判断,C待完善,待补充,draft
PRD00007,ENT0002,样例企业002产品2,Product 2 of ENT0002,MACH,机械设备,升级产品,ODM,23772681,台,500,231.15,USD,2023-12-10,2024-03-09,中东,适合,A优先推荐,部分齐全,active
PRD00008,ENT0002,样例企业002产品3,Product 3 of ENT0002,MACH,机械设备,升级产品,标准品,71613296,件,100,47.76,USD,2024-12-17,2025-03-17,拉美,待判断,B可推荐,齐全,inactive
PRD00009,ENT0002,样例企业002产品4,Product 4 of ENT0002,MACH,机械设备,定制产品,ODM,97103476,台,500,147.50,USD,2024-06-29,2024-09-27,中东,适合,A优先推荐,部分齐全,inactive
PRD00010,ENT0002,样例企业002产品5,Product 5 of ENT0002,MACH,机械设备,配套产品,标准品,85162087,件,100,265.79,USD,2025-08-12,2025-11-10,东南亚,待判断,A优先推荐,齐全,active
PRD00011,ENT0003,样例企业003产品1,Product 1 of ENT0003,HOME,家居日用,配套产品,定制品,14418932,件,50,192.62,USD,2023-02-14,2023-05-15,非洲,适合,A优先推荐,待补充,inactive
PRD00012,ENT0003,样例企业003产品2,Product 2 of ENT0003,HOME,家居日用,定制产品,OEM,29685226,套,100,154.51,USD,2025-02-24,2025-05-25,拉美,适合,B可推荐,部分齐全,draft
PRD00013,ENT0003,样例企业003产品3,Product 3 of ENT0003,HOME,家居日用,核心产品,ODM,74084645,箱,50,201.48,USD,2024-02-03,2024-05-03,非洲,待判断,C待完善,待补充,active
PRD00014,ENT0003,样例企业003产品4,Product 4 of ENT0003,HOME,家居日用,核心产品,OEM,20616498,套,100,161.31,USD,2024-01-14,2024-04-13,拉美,适合,A优先推荐,齐全,inactive
PRD00015,ENT0003,样例企业003产品5,Product 5 of ENT0003,HOME,家居日用,升级产品,定制品,79774444,箱,500,279.47,USD,2025-07-17,2025-10-15,非洲,基本适合,C待完善,齐全,draft
